question,sentence,sia_score
carbon monoxide gas from a generator's exhaust has been what,Deadly carbon monoxide gas from the generator s exhaust can spread throughout enclosed spaces.,2.394
What do organisms require to grow?,Growth is very energy consuming.,2.194
What function can fur and feathers perform for some animals?,preventing the transfer of heat from an organims 's body causes that organism to keep warm,2.055
What causes genetic traits to be passed down to that organism 's offspring?,DNA is a carrier of information of inheritance.,2.175
What reflex does nicotine cause because of its toxicity?,Nicotine excites the vomiting reflex both in the brain and in the nerves of the stomach.,2.372
Why can't Venus sustain life?,if a planet becomes too hot then that planet cannot sustain life,2.481
What can muscle spasms cause?,Constriction occurs when the muscular walls of blood vessels contract.,2.366
Earth's tilt on its rotating axis causes what?,Weather is still cold and wet.,2.679
Plants require sunlight for what?,Living means growing.,2.234
What do some jawless fish secrete large amounts of?,"Hagfish are noted for secreting large amounts of thick, slimy mucus.",2.60399999999999
Where do most fungi get their protein?,Most fungi get organic compounds from dead organisms.,2.555
What can be heard when it reaches our ears?,"when sound reaches the ear , that sound can be heard",2.565
What is converted into light by burning beech wood?,Beech wood fires burn bright and clear If the logs are kept a year.,2.08
what decreases in strength as the move over land?,Hurricanes are extremely dangerous storms.,2.073
a fever can be measured with what device?,a thermometer is used to measure temperature,2.052
What effect do pathogens have.,disease-causing microbes have a negative impact on the body,2.435
Bacteria and archaebacteria examples of what?,Bacteria and archaebacteria are prokaryotes.,2.412
What can viruses be seen with?,Electron microscopes are needed to see viruses.,2.509
Where can tropical animals that resemble earthworms be found?,Moist soils are best.,2.368
An organism is impacted negatively if it is,intense heat has a negative impact on an organism,2.89399999999999
electrical energy is converted into,Light energy is converted into heat energy.,2.142
Ancestors of hagfish are thought to have been the earliest animals with what?,Ancestors of hagfish are thought to have been the earliest vertebrates.,2.866
What does pulping fibres for paper save?,Dozens of non-wood fibers are pulped for paper around the world.,2.445
Organisms cluster around formations in the ocean floor powered by the heat of submarine what,Hydrothermal vents are powered by the heat of submarine volcanoes.,2.675
What causes damage to man-made structures?,an earthquake causes the ground to shake,2.31
What do you add to decrease the melting point of a liquid?,Sodium chloride is always sodium chloride.,2.381
If all members of a species cannot produce offspring then that species will likely become what?,"If an animal become extinct, it's gone forever.",2.334
what gives color to paint?,Pigments Pigments give color to paint.,2.042
What can happen to make animals move to another area?,Forest habitats are destroyed.,2.531
What do prisms do to light?,Diffraction Focuses on the phenomenon of diffraction.,2.036
What is used for keeping food fresh for a long period of time?,a refrigerator is used for keeping food fresh for a long period of time,2.81
Fossils show what over geologic time above the level of the species?,Macroevolution is evolution over geologic time above the level of the species.,2.802
Damming a river can cause what in a depression?,Pond - Small ponds are sources of water.,2.177
"When the Nile floods, where is soil deposited?","when a river floods , that river deposits soil in flood plains",2.48
What are sedentary?,Adult sponges are sessile.,2.283
what kind of digestive tracks do nematoda have?,Roundworm Roundworms have complete digestive tracks.,2.13199999999999
Substances found where are chemical elements that are essential for body processes?,Minerals are substances found in soil.,2.138
What is used to preserve food?,Food is then dehydrated in slow oven or dehydrator.,2.069
what have a layer of fat under the skin?,Mammals have a layer of fat under the skin to help insulate the body.,2.19199999999999
What are some crabs adapted to?,"For example, in salt water, salt is the solute and water is the solvent.",2.031
What can cause predators pain?,threatening behavior by predators causes a porcupine to extend its quills,2.417
what in the inner ear is used for sensing sound by animals?,"For example, hearing waves are transmitted by fluid in the inner ear.",2.44599999999999
Which tool can help a driver prevent accidents?,Speedometer drive is standard.,2.185
What does the skin protect against?,skin is used for protecting the body from harmful substances,2.324
what do coral polyps form?,Coral reefs are made up of the accumulated exoskeletons of the coral polyp.,2.751
heat causes,Insects hatch from eggs.,2.189
What does lifting weights increase?,Strength is strength.,2.124
cucumbers and what possess a mutualism in which both species benefit?,Another symbiotic relationship is found with cucumbers and corn.,2.5
What can keep mold from entering the respiratory system?,a breathing mask is used for keeping harmful particles from entering the respiratory system,2.551
What animal lacks a backbone?,"Invertebrates are animals that lack a vertebral column, or backbone.",2.534
what happens when sweat wets the skin?,Evaporation cools the skin and thereby reduces body temperature.,2.302
What do clams feed on?,Bivalves feed on plankton and nonliving organic matter.,2.723
